,game_id,play_id,home_team,away_team,game_date,down,ydstogo,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,qtr,yardline_100,posteam_timeouts_remaining,score_differential,posteam,defteam,posteam_timeouts_remaining,interception,fumble_lost
2,2023_01_ARI_WAS,55,WAS,ARI,9/10/2023,1.0,10,900.0,1800.0,3600.0,1,75.0,3.0,0.0,WAS,ARI,3.0,0.0,0.0
3,2023_01_ARI_WAS,77,WAS,ARI,9/10/2023,2.0,7,870.0,1770.0,3570.0,1,72.0,3.0,0.0,WAS,ARI,3.0,0.0,0.0
4,2023_01_ARI_WAS,102,WAS,ARI,9/10/2023,3.0,1,835.0,1735.0,3535.0,1,66.0,3.0,0.0,WAS,ARI,3.0,0.0,0.0
5,2023_01_ARI_WAS,124,WAS,ARI,9/10/2023,1.0,10,796.0,1696.0,3496.0,1,64.0,3.0,0.0,WAS,ARI,3.0,0.0,0.0
6,2023_01_ARI_WAS,147,WAS,ARI,9/10/2023,2.0,10,792.0,1692.0,3492.0,1,64.0,3.0,0.0,WAS,ARI,3.0,0.0,0.0
7,2023_01_ARI_WAS,172,WAS,ARI,9/10/2023,1.0,10,754.0,1654.0,3454.0,1,52.0,3.0,0.0,WAS,ARI,3.0,0.0,0.0
8,2023_01_ARI_WAS,197,WAS,ARI,9/10/2023,2.0,9,716.0,1616.0,3416.0,1,51.0,3.0,0.0,WAS,ARI,3.0,0.0,0.0
9,2023_01_ARI_WAS,220,WAS,ARI,9/10/2023,3.0,9,711.0,1611.0,3411.0,1,51.0,3.0,0.0,WAS,ARI,3.0,0.0,0.0
10,2023_01_ARI_WAS,245,WAS,ARI,9/10/2023,4.0,7,668.0,1568.0,3368.0,1,49.0,3.0,0.0,WAS,ARI,3.0,0.0,0.0
11,2023_01_ARI_WAS,276,WAS,ARI,9/10/2023,1.0,10,659.0,1559.0,3359.0,1,83.0,3.0,0.0,ARI,WAS,3.0,0.0,0.0
12,2023_01_ARI_WAS,310,WAS,ARI,9/10/2023,2.0,11,628.0,1528.0,3328.0,1,84.0,3.0,0.0,ARI,WAS,3.0,0.0,0.0
13,2023_01_ARI_WAS,332,WAS,ARI,9/10/2023,3.0,5,591.0,1491.0,3291.0,1,78.0,3.0,0.0,ARI,WAS,3.0,0.0,0.0
14,2023_01_ARI_WAS,357,WAS,ARI,9/10/2023,1.0,10,552.0,1452.0,3252.0,1,72.0,3.0,0.0,ARI,WAS,3.0,0.0,0.0
15,2023_01_ARI_WAS,380,WAS,ARI,9/10/2023,2.0,10,548.0,1448.0,3248.0,1,72.0,3.0,0.0,ARI,WAS,3.0,0.0,0.0
16,2023_01_ARI_WAS,405,WAS,ARI,9/10/2023,3.0,13,508.0,1408.0,3208.0,1,75.0,3.0,0.0,ARI,WAS,3.0,0.0,0.0
17,2023_01_ARI_WAS,427,WAS,ARI,9/10/2023,4.0,8,465.0,1365.0,3165.0,1,70.0,3.0,0.0,ARI,WAS,3.0,0.0,0.0
18,2023_01_ARI_WAS,469,WAS,ARI,9/10/2023,1.0,10,455.0,1355.0,3155.0,1,91.0,3.0,0.0,WAS,ARI,3.0,0.0,0.0
19,2023_01_ARI_WAS,526,WAS,ARI,9/10/2023,1.0,10,431.0,1331.0,3131.0,1,76.0,3.0,0.0,WAS,ARI,3.0,0.0,0.0
20,2023_01_ARI_WAS,558,WAS,ARI,9/10/2023,2.0,4,400.0,1300.0,3100.0,1,70.0,3.0,0.0,WAS,ARI,3.0,0.0,0.0
21,2023_01_ARI_WAS,580,WAS,ARI,9/10/2023,3.0,1,370.0,1270.0,3070.0,1,67.0,3.0,0.0,WAS,ARI,3.0,0.0,0.0
22,2023_01_ARI_WAS,621,WAS,ARI,9/10/2023,1.0,10,347.0,1247.0,3047.0,1,49.0,3.0,0.0,WAS,ARI,3.0,0.0,0.0
23,2023_01_ARI_WAS,643,WAS,ARI,9/10/2023,2.0,11,308.0,1208.0,3008.0,1,50.0,3.0,0.0,WAS,ARI,3.0,0.0,0.0
24,2023_01_ARI_WAS,677,WAS,ARI,9/10/2023,1.0,10,302.0,1202.0,3002.0,1,13.0,3.0,0.0,WAS,ARI,3.0,0.0,0.0
25,2023_01_ARI_WAS,699,WAS,ARI,9/10/2023,2.0,4,262.0,1162.0,2962.0,1,7.0,3.0,0.0,WAS,ARI,3.0,0.0,0.0
28,2023_01_ARI_WAS,763,WAS,ARI,9/10/2023,1.0,10,255.0,1155.0,2955.0,1,75.0,3.0,-7.0,ARI,WAS,3.0,0.0,0.0
29,2023_01_ARI_WAS,790,WAS,ARI,9/10/2023,2.0,6,225.0,1125.0,2925.0,1,71.0,3.0,-7.0,ARI,WAS,3.0,0.0,0.0
30,2023_01_ARI_WAS,812,WAS,ARI,9/10/2023,1.0,10,181.0,1081.0,2881.0,1,42.0,3.0,-7.0,ARI,WAS,3.0,0.0,0.0
31,2023_01_ARI_WAS,842,WAS,ARI,9/10/2023,2.0,11,136.0,1036.0,2836.0,1,43.0,3.0,-7.0,ARI,WAS,3.0,0.0,0.0
33,2023_01_ARI_WAS,883,WAS,ARI,9/10/2023,1.0,10,103.0,1003.0,2803.0,1,12.0,2.0,-7.0,ARI,WAS,2.0,0.0,0.0
34,2023_01_ARI_WAS,913,WAS,ARI,9/10/2023,2.0,10,98.0,998.0,2798.0,1,12.0,2.0,-7.0,ARI,WAS,2.0,0.0,0.0
35,2023_01_ARI_WAS,935,WAS,ARI,9/10/2023,3.0,9,60.0,960.0,2760.0,1,11.0,2.0,-7.0,ARI,WAS,2.0,0.0,0.0
36,2023_01_ARI_WAS,958,WAS,ARI,9/10/2023,4.0,9,56.0,956.0,2756.0,1,11.0,2.0,-7.0,ARI,WAS,2.0,0.0,0.0
38,2023_01_ARI_WAS,1010,WAS,ARI,9/10/2023,1.0,10,53.0,953.0,2753.0,1,75.0,3.0,4.0,WAS,ARI,3.0,0.0,0.0
39,2023_01_ARI_WAS,1045,WAS,ARI,9/10/2023,2.0,11,17.0,917.0,2717.0,1,76.0,3.0,4.0,WAS,ARI,3.0,0.0,0.0
41,2023_01_ARI_WAS,1106,WAS,ARI,9/10/2023,2.0,21,900.0,900.0,2700.0,2,86.0,3.0,4.0,WAS,ARI,3.0,0.0,0.0
42,2023_01_ARI_WAS,1140,WAS,ARI,9/10/2023,1.0,10,894.0,894.0,2694.0,2,71.0,3.0,4.0,WAS,ARI,3.0,1.0,0.0
43,2023_01_ARI_WAS,1167,WAS,ARI,9/10/2023,1.0,10,886.0,886.0,2686.0,2,37.0,2.0,-4.0,ARI,WAS,2.0,0.0,0.0
44,2023_01_ARI_WAS,1192,WAS,ARI,9/10/2023,2.0,6,848.0,848.0,2648.0,2,33.0,2.0,-4.0,ARI,WAS,2.0,0.0,0.0
45,2023_01_ARI_WAS,1214,WAS,ARI,9/10/2023,3.0,9,814.0,814.0,2614.0,2,36.0,2.0,-4.0,ARI,WAS,2.0,0.0,0.0
46,2023_01_ARI_WAS,1237,WAS,ARI,9/10/2023,4.0,9,811.0,811.0,2611.0,2,36.0,2.0,-4.0,ARI,WAS,2.0,0.0,0.0
48,2023_01_ARI_WAS,1280,WAS,ARI,9/10/2023,1.0,10,806.0,806.0,2606.0,2,75.0,3.0,1.0,WAS,ARI,3.0,0.0,0.0
49,2023_01_ARI_WAS,1302,WAS,ARI,9/10/2023,2.0,4,769.0,769.0,2569.0,2,69.0,3.0,1.0,WAS,ARI,3.0,0.0,0.0
50,2023_01_ARI_WAS,1327,WAS,ARI,9/10/2023,1.0,10,735.0,735.0,2535.0,2,64.0,3.0,1.0,WAS,ARI,3.0,0.0,0.0
51,2023_01_ARI_WAS,1349,WAS,ARI,9/10/2023,2.0,5,691.0,691.0,2491.0,2,59.0,3.0,1.0,WAS,ARI,3.0,0.0,0.0
52,2023_01_ARI_WAS,1371,WAS,ARI,9/10/2023,3.0,2,647.0,647.0,2447.0,2,56.0,3.0,1.0,WAS,ARI,3.0,0.0,0.0
53,2023_01_ARI_WAS,1399,WAS,ARI,9/10/2023,1.0,10,610.0,610.0,2410.0,2,37.0,3.0,1.0,WAS,ARI,3.0,0.0,0.0
54,2023_01_ARI_WAS,1424,WAS,ARI,9/10/2023,2.0,9,576.0,576.0,2376.0,2,36.0,3.0,1.0,WAS,ARI,3.0,0.0,0.0
55,2023_01_ARI_WAS,1449,WAS,ARI,9/10/2023,1.0,10,535.0,535.0,2335.0,2,19.0,3.0,1.0,WAS,ARI,3.0,0.0,1.0
56,2023_01_ARI_WAS,1487,WAS,ARI,9/10/2023,1.0,10,531.0,531.0,2331.0,2,84.0,2.0,-1.0,ARI,WAS,2.0,0.0,0.0
57,2023_01_ARI_WAS,1516,WAS,ARI,9/10/2023,2.0,8,494.0,494.0,2294.0,2,82.0,2.0,-1.0,ARI,WAS,2.0,0.0,0.0
