,game_id,play_id,home_team,away_team,game_date,down,ydstogo,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,qtr,yardline_100,posteam_timeouts_remaining,score_differential,posteam,defteam,posteam_timeouts_remaining,interception,fumble_lost
2,2021_01_ARI_TEN,55,TEN,ARI,9/12/2021,1.0,10,900.0,1800.0,3600.0,1,75.0,3.0,0.0,TEN,ARI,3.0,0.0,0.0
3,2021_01_ARI_TEN,76,TEN,ARI,9/12/2021,2.0,13,863.0,1763.0,3563.0,1,78.0,3.0,0.0,TEN,ARI,3.0,0.0,0.0
4,2021_01_ARI_TEN,100,TEN,ARI,9/12/2021,3.0,10,822.0,1722.0,3522.0,1,75.0,3.0,0.0,TEN,ARI,3.0,0.0,0.0
5,2021_01_ARI_TEN,122,TEN,ARI,9/12/2021,4.0,10,819.0,1719.0,3519.0,1,75.0,3.0,0.0,TEN,ARI,3.0,0.0,0.0
6,2021_01_ARI_TEN,152,TEN,ARI,9/12/2021,1.0,10,807.0,1707.0,3507.0,1,61.0,3.0,0.0,ARI,TEN,3.0,0.0,0.0
7,2021_01_ARI_TEN,181,TEN,ARI,9/12/2021,1.0,10,775.0,1675.0,3475.0,1,23.0,3.0,0.0,ARI,TEN,3.0,0.0,0.0
8,2021_01_ARI_TEN,218,TEN,ARI,9/12/2021,1.0,18,746.0,1646.0,3446.0,1,31.0,3.0,0.0,ARI,TEN,3.0,0.0,0.0
9,2021_01_ARI_TEN,253,TEN,ARI,9/12/2021,2.0,17,714.0,1614.0,3414.0,1,30.0,3.0,0.0,ARI,TEN,3.0,0.0,0.0
10,2021_01_ARI_TEN,282,TEN,ARI,9/12/2021,1.0,9,700.0,1600.0,3400.0,1,9.0,3.0,0.0,ARI,TEN,3.0,0.0,0.0
11,2021_01_ARI_TEN,303,TEN,ARI,9/12/2021,2.0,9,662.0,1562.0,3362.0,1,9.0,3.0,0.0,ARI,TEN,3.0,0.0,0.0
13,2021_01_ARI_TEN,343,TEN,ARI,9/12/2021,2.0,14,634.0,1534.0,3334.0,1,14.0,2.0,0.0,ARI,TEN,2.0,0.0,0.0
14,2021_01_ARI_TEN,386,TEN,ARI,9/12/2021,2.0,24,608.0,1508.0,3308.0,1,24.0,2.0,0.0,ARI,TEN,2.0,0.0,0.0
15,2021_01_ARI_TEN,410,TEN,ARI,9/12/2021,3.0,16,569.0,1469.0,3269.0,1,16.0,2.0,0.0,ARI,TEN,2.0,0.0,0.0
16,2021_01_ARI_TEN,432,TEN,ARI,9/12/2021,4.0,16,566.0,1466.0,3266.0,1,16.0,2.0,0.0,ARI,TEN,2.0,0.0,0.0
18,2021_01_ARI_TEN,473,TEN,ARI,9/12/2021,1.0,10,557.0,1457.0,3257.0,1,80.0,3.0,-3.0,TEN,ARI,3.0,0.0,0.0
19,2021_01_ARI_TEN,494,TEN,ARI,9/12/2021,2.0,11,516.0,1416.0,3216.0,1,81.0,3.0,-3.0,TEN,ARI,3.0,0.0,1.0
20,2021_01_ARI_TEN,559,TEN,ARI,9/12/2021,1.0,1,510.0,1410.0,3210.0,1,1.0,2.0,3.0,ARI,TEN,2.0,0.0,0.0
22,2021_01_ARI_TEN,599,TEN,ARI,9/12/2021,1.0,5,510.0,1410.0,3210.0,1,5.0,1.0,3.0,ARI,TEN,1.0,0.0,0.0
23,2021_01_ARI_TEN,621,TEN,ARI,9/12/2021,2.0,5,506.0,1406.0,3206.0,1,5.0,1.0,3.0,ARI,TEN,1.0,0.0,0.0
25,2021_01_ARI_TEN,660,TEN,ARI,9/12/2021,3.0,5,498.0,1398.0,3198.0,1,5.0,1.0,3.0,ARI,TEN,1.0,0.0,0.0
28,2021_01_ARI_TEN,716,TEN,ARI,9/12/2021,1.0,10,491.0,1391.0,3191.0,1,75.0,2.0,-10.0,TEN,ARI,2.0,0.0,0.0
29,2021_01_ARI_TEN,737,TEN,ARI,9/12/2021,2.0,8,444.0,1344.0,3144.0,1,73.0,2.0,-10.0,TEN,ARI,2.0,0.0,0.0
30,2021_01_ARI_TEN,769,TEN,ARI,9/12/2021,3.0,16,419.0,1319.0,3119.0,1,81.0,2.0,-10.0,TEN,ARI,2.0,0.0,0.0
31,2021_01_ARI_TEN,791,TEN,ARI,9/12/2021,4.0,16,414.0,1314.0,3114.0,1,81.0,2.0,-10.0,TEN,ARI,2.0,0.0,0.0
32,2021_01_ARI_TEN,816,TEN,ARI,9/12/2021,1.0,10,404.0,1304.0,3104.0,1,65.0,1.0,10.0,ARI,TEN,1.0,0.0,0.0
