,game_id,play_id,home_team,away_team,game_date,down,ydstogo,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,qtr,yardline_100,posteam_timeouts_remaining,score_differential,posteam,defteam,posteam_timeouts_remaining,interception,fumble_lost
2,2024_01_ARI_BUF,61,BUF,ARI,9/8/2024,1.0,10,900.0,1800.0,3600.0,1,70.0,3.0,0.0,ARI,BUF,3.0,0.0,0.0
3,2024_01_ARI_BUF,83,BUF,ARI,9/8/2024,2.0,7,867.0,1767.0,3567.0,1,67.0,3.0,0.0,ARI,BUF,3.0,0.0,0.0
4,2024_01_ARI_BUF,108,BUF,ARI,9/8/2024,1.0,10,823.0,1723.0,3523.0,1,45.0,3.0,0.0,ARI,BUF,3.0,0.0,0.0
5,2024_01_ARI_BUF,133,BUF,ARI,9/8/2024,2.0,1,782.0,1682.0,3482.0,1,36.0,3.0,0.0,ARI,BUF,3.0,0.0,0.0
6,2024_01_ARI_BUF,155,BUF,ARI,9/8/2024,1.0,10,746.0,1646.0,3446.0,1,34.0,3.0,0.0,ARI,BUF,3.0,0.0,0.0
7,2024_01_ARI_BUF,177,BUF,ARI,9/8/2024,2.0,8,711.0,1611.0,3411.0,1,32.0,3.0,0.0,ARI,BUF,3.0,0.0,0.0
8,2024_01_ARI_BUF,199,BUF,ARI,9/8/2024,3.0,6,668.0,1568.0,3368.0,1,30.0,3.0,0.0,ARI,BUF,3.0,0.0,0.0
9,2024_01_ARI_BUF,224,BUF,ARI,9/8/2024,1.0,10,632.0,1532.0,3332.0,1,22.0,3.0,0.0,ARI,BUF,3.0,0.0,0.0
10,2024_01_ARI_BUF,265,BUF,ARI,9/8/2024,2.0,10,628.0,1528.0,3328.0,1,22.0,3.0,0.0,ARI,BUF,3.0,0.0,0.0
11,2024_01_ARI_BUF,287,BUF,ARI,9/8/2024,3.0,13,588.0,1488.0,3288.0,1,25.0,3.0,0.0,ARI,BUF,3.0,0.0,0.0
12,2024_01_ARI_BUF,320,BUF,ARI,9/8/2024,1.0,9,555.0,1455.0,3255.0,1,9.0,3.0,0.0,ARI,BUF,3.0,0.0,0.0
13,2024_01_ARI_BUF,347,BUF,ARI,9/8/2024,2.0,5,514.0,1414.0,3214.0,1,5.0,3.0,0.0,ARI,BUF,3.0,0.0,0.0
14,2024_01_ARI_BUF,381,BUF,ARI,9/8/2024,3.0,5,474.0,1374.0,3174.0,1,5.0,3.0,0.0,ARI,BUF,3.0,0.0,0.0
17,2024_01_ARI_BUF,457,BUF,ARI,9/8/2024,1.0,10,459.0,1359.0,3159.0,1,45.0,3.0,-7.0,BUF,ARI,3.0,0.0,0.0
