,game_id,play_id,home_team,away_team,game_date,down,ydstogo,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,qtr,yardline_100,posteam_timeouts_remaining,score_differential,posteam,defteam,posteam_timeouts_remaining,interception,fumble_lost
0,2023_10_HOU_CIN,2011,CIN,HOU,11/12/2023,2.0,10,49.0,49.0,1849.0,2,29.0,2.0,0.0,HOU,CIN,2.0,0.0,0.0
2,2023_10_HOU_CIN,2036,CIN,HOU,11/12/2023,3.0,8,19.0,19.0,1819.0,2,27.0,1.0,0.0,HOU,CIN,1.0,0.0,0.0
3,2023_10_HOU_CIN,2066,CIN,HOU,11/12/2023,4.0,8,15.0,15.0,1815.0,2,27.0,1.0,0.0,HOU,CIN,1.0,0.0,0.0
5,2023_10_HOU_CIN,2109,CIN,HOU,11/12/2023,1.0,10,8.0,8.0,1808.0,2,91.0,2.0,-3.0,CIN,HOU,2.0,0.0,0.0
8,2023_10_HOU_CIN,2177,CIN,HOU,11/12/2023,1.0,10,900.0,1800.0,1800.0,3,75.0,3.0,3.0,HOU,CIN,3.0,0.0,0.0
9,2023_10_HOU_CIN,2199,CIN,HOU,11/12/2023,1.0,10,863.0,1763.0,1763.0,3,63.0,3.0,3.0,HOU,CIN,3.0,0.0,0.0
10,2023_10_HOU_CIN,2221,CIN,HOU,11/12/2023,2.0,7,826.0,1726.0,1726.0,3,60.0,3.0,3.0,HOU,CIN,3.0,0.0,0.0
11,2023_10_HOU_CIN,2246,CIN,HOU,11/12/2023,1.0,10,785.0,1685.0,1685.0,3,40.0,3.0,3.0,HOU,CIN,3.0,0.0,0.0
12,2023_10_HOU_CIN,2268,CIN,HOU,11/12/2023,2.0,7,741.0,1641.0,1641.0,3,37.0,3.0,3.0,HOU,CIN,3.0,0.0,0.0
13,2023_10_HOU_CIN,2290,CIN,HOU,11/12/2023,1.0,10,701.0,1601.0,1601.0,3,30.0,3.0,3.0,HOU,CIN,3.0,0.0,0.0
14,2023_10_HOU_CIN,2315,CIN,HOU,11/12/2023,2.0,4,663.0,1563.0,1563.0,3,24.0,3.0,3.0,HOU,CIN,3.0,0.0,0.0
15,2023_10_HOU_CIN,2345,CIN,HOU,11/12/2023,1.0,5,625.0,1525.0,1525.0,3,5.0,3.0,3.0,HOU,CIN,3.0,0.0,0.0
16,2023_10_HOU_CIN,2367,CIN,HOU,11/12/2023,2.0,3,584.0,1484.0,1484.0,3,3.0,3.0,3.0,HOU,CIN,3.0,0.0,0.0
17,2023_10_HOU_CIN,2390,CIN,HOU,11/12/2023,3.0,3,579.0,1479.0,1479.0,3,3.0,3.0,3.0,HOU,CIN,3.0,0.0,0.0
18,2023_10_HOU_CIN,2424,CIN,HOU,11/12/2023,4.0,3,570.0,1470.0,1470.0,3,3.0,3.0,3.0,HOU,CIN,3.0,0.0,0.0
20,2023_10_HOU_CIN,2507,CIN,HOU,11/12/2023,1.0,10,567.0,1467.0,1467.0,3,75.0,3.0,-6.0,CIN,HOU,3.0,0.0,0.0
21,2023_10_HOU_CIN,2532,CIN,HOU,11/12/2023,2.0,9,534.0,1434.0,1434.0,3,74.0,3.0,-6.0,CIN,HOU,3.0,0.0,0.0
22,2023_10_HOU_CIN,2555,CIN,HOU,11/12/2023,3.0,9,530.0,1430.0,1430.0,3,74.0,3.0,-6.0,CIN,HOU,3.0,0.0,0.0
23,2023_10_HOU_CIN,2585,CIN,HOU,11/12/2023,4.0,22,486.0,1386.0,1386.0,3,87.0,3.0,-6.0,CIN,HOU,3.0,0.0,0.0
24,2023_10_HOU_CIN,2605,CIN,HOU,11/12/2023,1.0,10,479.0,1379.0,1379.0,3,59.0,3.0,6.0,HOU,CIN,3.0,0.0,0.0
25,2023_10_HOU_CIN,2646,CIN,HOU,11/12/2023,1.0,10,472.0,1372.0,1372.0,3,17.0,3.0,6.0,HOU,CIN,3.0,0.0,0.0
26,2023_10_HOU_CIN,2671,CIN,HOU,11/12/2023,1.0,6,432.0,1332.0,1332.0,3,6.0,3.0,6.0,HOU,CIN,3.0,0.0,0.0
29,2023_10_HOU_CIN,2732,CIN,HOU,11/12/2023,1.0,10,428.0,1328.0,1328.0,3,75.0,3.0,-13.0,CIN,HOU,3.0,0.0,0.0
30,2023_10_HOU_CIN,2754,CIN,HOU,11/12/2023,1.0,10,387.0,1287.0,1287.0,3,58.0,3.0,-13.0,CIN,HOU,3.0,0.0,0.0
31,2023_10_HOU_CIN,2779,CIN,HOU,11/12/2023,1.0,10,350.0,1250.0,1250.0,3,44.0,3.0,-13.0,CIN,HOU,3.0,0.0,0.0
32,2023_10_HOU_CIN,2801,CIN,HOU,11/12/2023,1.0,10,305.0,1205.0,1205.0,3,29.0,3.0,-13.0,CIN,HOU,3.0,0.0,0.0
33,2023_10_HOU_CIN,2835,CIN,HOU,11/12/2023,1.0,20,298.0,1198.0,1198.0,3,39.0,3.0,-13.0,CIN,HOU,3.0,0.0,0.0
34,2023_10_HOU_CIN,2860,CIN,HOU,11/12/2023,2.0,15,264.0,1164.0,1164.0,3,34.0,3.0,-13.0,CIN,HOU,3.0,0.0,0.0
35,2023_10_HOU_CIN,2885,CIN,HOU,11/12/2023,3.0,5,230.0,1130.0,1130.0,3,24.0,3.0,-13.0,CIN,HOU,3.0,0.0,0.0
36,2023_10_HOU_CIN,2905,CIN,HOU,11/12/2023,4.0,13,185.0,1085.0,1085.0,3,32.0,3.0,-13.0,CIN,HOU,3.0,0.0,0.0
38,2023_10_HOU_CIN,2949,CIN,HOU,11/12/2023,1.0,10,180.0,1080.0,1080.0,3,75.0,3.0,10.0,HOU,CIN,3.0,0.0,0.0
39,2023_10_HOU_CIN,2971,CIN,HOU,11/12/2023,2.0,9,145.0,1045.0,1045.0,3,74.0,3.0,10.0,HOU,CIN,3.0,0.0,0.0
40,2023_10_HOU_CIN,2996,CIN,HOU,11/12/2023,3.0,3,110.0,1010.0,1010.0,3,68.0,3.0,10.0,HOU,CIN,3.0,0.0,0.0
41,2023_10_HOU_CIN,3019,CIN,HOU,11/12/2023,4.0,3,103.0,1003.0,1003.0,3,68.0,3.0,10.0,HOU,CIN,3.0,0.0,0.0
42,2023_10_HOU_CIN,3039,CIN,HOU,11/12/2023,1.0,10,93.0,993.0,993.0,3,73.0,3.0,-10.0,CIN,HOU,3.0,0.0,0.0
43,2023_10_HOU_CIN,3064,CIN,HOU,11/12/2023,2.0,7,62.0,962.0,962.0,3,70.0,3.0,-10.0,CIN,HOU,3.0,0.0,0.0
44,2023_10_HOU_CIN,3098,CIN,HOU,11/12/2023,1.0,10,58.0,958.0,958.0,3,62.0,3.0,-10.0,CIN,HOU,3.0,0.0,0.0
45,2023_10_HOU_CIN,3131,CIN,HOU,11/12/2023,2.0,12,21.0,921.0,921.0,3,64.0,3.0,-10.0,CIN,HOU,3.0,0.0,0.0
48,2023_10_HOU_CIN,3188,CIN,HOU,11/12/2023,1.0,10,10.0,910.0,910.0,3,75.0,3.0,3.0,HOU,CIN,3.0,0.0,0.0
50,2023_10_HOU_CIN,3230,CIN,HOU,11/12/2023,2.0,5,900.0,900.0,900.0,4,70.0,3.0,3.0,HOU,CIN,3.0,0.0,0.0
51,2023_10_HOU_CIN,3255,CIN,HOU,11/12/2023,1.0,10,859.0,859.0,859.0,4,36.0,3.0,3.0,HOU,CIN,3.0,0.0,0.0
