,game_id,play_id,home_team,away_team,game_date,down,ydstogo,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,qtr,yardline_100,posteam_timeouts_remaining,score_differential,posteam,defteam,posteam_timeouts_remaining,interception,fumble_lost
0,2022_10_IND_LV,2600,LV,IND,11/13/2022,3.0,2,197,1097,1097,3,17.0,3.0,-6.0,LV,IND,3.0,0.0,0.0
1,2022_10_IND_LV,2624,LV,IND,11/13/2022,1.0,3,153,1053,1053,3,3.0,3.0,-6.0,LV,IND,3.0,0.0,0.0
2,2022_10_IND_LV,2645,LV,IND,11/13/2022,2.0,1,115,1015,1015,3,1.0,3.0,-6.0,LV,IND,3.0,0.0,0.0
5,2022_10_IND_LV,2725,LV,IND,11/13/2022,1.0,10,104,1004,1004,3,70.0,3.0,-1.0,IND,LV,3.0,0.0,0.0
6,2022_10_IND_LV,2746,LV,IND,11/13/2022,2.0,6,72,972,972,3,66.0,3.0,-1.0,IND,LV,3.0,0.0,0.0
9,2022_10_IND_LV,2807,LV,IND,11/13/2022,1.0,10,53,953,953,3,62.0,3.0,-5.0,LV,IND,3.0,0.0,0.0
10,2022_10_IND_LV,2828,LV,IND,11/13/2022,2.0,7,21,921,921,3,59.0,3.0,-5.0,LV,IND,3.0,0.0,0.0
12,2022_10_IND_LV,2883,LV,IND,11/13/2022,2.0,12,900,900,900,4,64.0,3.0,-5.0,LV,IND,3.0,0.0,0.0
13,2022_10_IND_LV,2907,LV,IND,11/13/2022,3.0,7,854,854,854,4,59.0,3.0,-5.0,LV,IND,3.0,0.0,0.0
14,2022_10_IND_LV,2929,LV,IND,11/13/2022,4.0,7,849,849,849,4,59.0,3.0,-5.0,LV,IND,3.0,0.0,0.0
15,2022_10_IND_LV,2948,LV,IND,11/13/2022,1.0,10,839,839,839,4,95.0,3.0,5.0,IND,LV,3.0,0.0,0.0
16,2022_10_IND_LV,2971,LV,IND,11/13/2022,2.0,9,798,798,798,4,94.0,3.0,5.0,IND,LV,3.0,0.0,0.0
18,2022_10_IND_LV,3000,LV,IND,11/13/2022,3.0,9,795,795,795,4,94.0,3.0,5.0,IND,LV,3.0,0.0,0.0
19,2022_10_IND_LV,3028,LV,IND,11/13/2022,4.0,7,759,759,759,4,92.0,3.0,5.0,IND,LV,3.0,0.0,0.0
20,2022_10_IND_LV,3047,LV,IND,11/13/2022,1.0,10,752,752,752,4,48.0,2.0,-5.0,LV,IND,2.0,0.0,0.0
21,2022_10_IND_LV,3069,LV,IND,11/13/2022,2.0,10,743,743,743,4,48.0,2.0,-5.0,LV,IND,2.0,0.0,0.0
22,2022_10_IND_LV,3090,LV,IND,11/13/2022,3.0,10,707,707,707,4,48.0,2.0,-5.0,LV,IND,2.0,0.0,0.0
25,2022_10_IND_LV,3139,LV,IND,11/13/2022,1.0,10,696,696,696,4,75.0,3.0,-1.0,IND,LV,3.0,0.0,0.0
26,2022_10_IND_LV,3168,LV,IND,11/13/2022,2.0,4,663,663,663,4,69.0,3.0,-1.0,IND,LV,3.0,0.0,0.0
27,2022_10_IND_LV,3200,LV,IND,11/13/2022,1.0,10,643,643,643,4,65.0,3.0,-1.0,IND,LV,3.0,0.0,0.0
28,2022_10_IND_LV,3222,LV,IND,11/13/2022,2.0,10,637,637,637,4,65.0,3.0,-1.0,IND,LV,3.0,0.0,0.0
29,2022_10_IND_LV,3246,LV,IND,11/13/2022,3.0,5,598,598,598,4,60.0,3.0,-1.0,IND,LV,3.0,0.0,0.0
30,2022_10_IND_LV,3268,LV,IND,11/13/2022,4.0,5,594,594,594,4,60.0,3.0,-1.0,IND,LV,3.0,0.0,0.0
31,2022_10_IND_LV,3304,LV,IND,11/13/2022,1.0,10,580,580,580,4,75.0,2.0,1.0,LV,IND,2.0,0.0,0.0
32,2022_10_IND_LV,3325,LV,IND,11/13/2022,2.0,8,539,539,539,4,73.0,2.0,1.0,LV,IND,2.0,0.0,0.0
