,game_id,play_id,home_team,away_team,game_date,down,ydstogo,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,qtr,yardline_100,posteam_timeouts_remaining,score_differential,posteam,defteam,posteam_timeouts_remaining,interception,fumble_lost
2,2022_01_BAL_NYJ,68,NYJ,BAL,9/11/2022,1.0,10,896,1796,3596,1,78.0,3.0,0.0,NYJ,BAL,3.0,0.0,0.0
3,2022_01_BAL_NYJ,89,NYJ,BAL,9/11/2022,1.0,10,869,1769,3569,1,59.0,3.0,0.0,NYJ,BAL,3.0,0.0,0.0
4,2022_01_BAL_NYJ,115,NYJ,BAL,9/11/2022,2.0,10,865,1765,3565,1,59.0,3.0,0.0,NYJ,BAL,3.0,0.0,0.0
5,2022_01_BAL_NYJ,136,NYJ,BAL,9/11/2022,3.0,5,841,1741,3541,1,54.0,3.0,0.0,NYJ,BAL,3.0,0.0,0.0
6,2022_01_BAL_NYJ,172,NYJ,BAL,9/11/2022,4.0,15,833,1733,3533,1,64.0,3.0,0.0,NYJ,BAL,3.0,0.0,0.0
7,2022_01_BAL_NYJ,202,NYJ,BAL,9/11/2022,1.0,10,822,1722,3522,1,72.0,3.0,0.0,BAL,NYJ,3.0,0.0,0.0
8,2022_01_BAL_NYJ,230,NYJ,BAL,9/11/2022,2.0,6,801,1701,3501,1,68.0,3.0,0.0,BAL,NYJ,3.0,0.0,0.0
9,2022_01_BAL_NYJ,254,NYJ,BAL,9/11/2022,3.0,2,761,1661,3461,1,64.0,3.0,0.0,BAL,NYJ,3.0,0.0,0.0
10,2022_01_BAL_NYJ,275,NYJ,BAL,9/11/2022,1.0,10,721,1621,3421,1,60.0,3.0,0.0,BAL,NYJ,3.0,0.0,0.0
11,2022_01_BAL_NYJ,301,NYJ,BAL,9/11/2022,2.0,10,679,1579,3379,1,60.0,3.0,0.0,BAL,NYJ,3.0,0.0,0.0
12,2022_01_BAL_NYJ,330,NYJ,BAL,9/11/2022,3.0,2,640,1540,3340,1,52.0,3.0,0.0,BAL,NYJ,3.0,0.0,0.0
14,2022_01_BAL_NYJ,368,NYJ,BAL,9/11/2022,4.0,1,596,1496,3296,1,51.0,2.0,0.0,BAL,NYJ,2.0,0.0,0.0
15,2022_01_BAL_NYJ,391,NYJ,BAL,9/11/2022,1.0,10,589,1489,3289,1,89.0,3.0,0.0,NYJ,BAL,3.0,0.0,0.0
16,2022_01_BAL_NYJ,412,NYJ,BAL,9/11/2022,2.0,12,551,1451,3251,1,91.0,3.0,0.0,NYJ,BAL,3.0,0.0,0.0
17,2022_01_BAL_NYJ,436,NYJ,BAL,9/11/2022,3.0,9,511,1411,3211,1,88.0,3.0,0.0,NYJ,BAL,3.0,0.0,0.0
18,2022_01_BAL_NYJ,469,NYJ,BAL,9/11/2022,1.0,10,507,1407,3207,1,83.0,3.0,0.0,NYJ,BAL,3.0,0.0,0.0
