,game_id,play_id,home_team,away_team,game_date,down,ydstogo,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,qtr,yardline_100,posteam_timeouts_remaining,score_differential,posteam,defteam,posteam_timeouts_remaining,interception,fumble_lost
0,2021_10_DET_PIT,3640,PIT,DET,11/14/2021,4.0,21,209,209,209,4,98.0,2.0,0.0,DET,PIT,2.0,0.0,0.0
1,2021_10_DET_PIT,3659,PIT,DET,11/14/2021,1.0,10,202,202,202,4,48.0,2.0,0.0,PIT,DET,2.0,0.0,0.0
2,2021_10_DET_PIT,3685,PIT,DET,11/14/2021,2.0,10,199,199,199,4,48.0,2.0,0.0,PIT,DET,2.0,0.0,0.0
3,2021_10_DET_PIT,3706,PIT,DET,11/14/2021,3.0,7,155,155,155,4,45.0,2.0,0.0,PIT,DET,2.0,0.0,0.0
4,2021_10_DET_PIT,3728,PIT,DET,11/14/2021,4.0,7,150,150,150,4,45.0,2.0,0.0,PIT,DET,2.0,0.0,0.0
5,2021_10_DET_PIT,3745,PIT,DET,11/14/2021,1.0,10,142,142,142,4,80.0,2.0,0.0,DET,PIT,2.0,0.0,0.0
6,2021_10_DET_PIT,3783,PIT,DET,11/14/2021,2.0,4,120,120,120,4,74.0,2.0,0.0,DET,PIT,2.0,0.0,0.0
7,2021_10_DET_PIT,3807,PIT,DET,11/14/2021,1.0,10,89,89,89,4,65.0,2.0,0.0,DET,PIT,2.0,0.0,0.0
8,2021_10_DET_PIT,3828,PIT,DET,11/14/2021,2.0,5,57,57,57,4,60.0,2.0,0.0,DET,PIT,2.0,0.0,0.0
10,2021_10_DET_PIT,3869,PIT,DET,11/14/2021,3.0,1,51,51,51,4,56.0,2.0,0.0,DET,PIT,2.0,0.0,0.0
11,2021_10_DET_PIT,3893,PIT,DET,11/14/2021,1.0,10,47,47,47,4,55.0,2.0,0.0,DET,PIT,2.0,0.0,0.0
12,2021_10_DET_PIT,3921,PIT,DET,11/14/2021,2.0,10,41,41,41,4,55.0,2.0,0.0,DET,PIT,2.0,0.0,0.0
13,2021_10_DET_PIT,3943,PIT,DET,11/14/2021,3.0,10,35,35,35,4,55.0,2.0,0.0,DET,PIT,2.0,0.0,0.0
14,2021_10_DET_PIT,3980,PIT,DET,11/14/2021,4.0,10,31,31,31,4,55.0,2.0,0.0,DET,PIT,2.0,0.0,0.0
15,2021_10_DET_PIT,4010,PIT,DET,11/14/2021,1.0,10,19,19,19,4,78.0,1.0,0.0,PIT,DET,1.0,0.0,0.0
18,2021_10_DET_PIT,4072,PIT,DET,11/14/2021,1.0,10,594,594,594,5,74.0,2.0,0.0,DET,PIT,2.0,0.0,0.0
19,2021_10_DET_PIT,4101,PIT,DET,11/14/2021,1.0,10,560,560,560,5,44.0,2.0,0.0,DET,PIT,2.0,0.0,0.0
20,2021_10_DET_PIT,4130,PIT,DET,11/14/2021,2.0,7,524,524,524,5,41.0,2.0,0.0,DET,PIT,2.0,0.0,0.0
21,2021_10_DET_PIT,4151,PIT,DET,11/14/2021,3.0,7,479,479,479,5,41.0,2.0,0.0,DET,PIT,2.0,0.0,0.0
22,2021_10_DET_PIT,4181,PIT,DET,11/14/2021,4.0,16,462,462,462,5,50.0,2.0,0.0,DET,PIT,2.0,0.0,0.0
23,2021_10_DET_PIT,4200,PIT,DET,11/14/2021,1.0,10,452,452,452,5,83.0,2.0,0.0,PIT,DET,2.0,0.0,0.0
24,2021_10_DET_PIT,4221,PIT,DET,11/14/2021,2.0,8,416,416,416,5,81.0,2.0,0.0,PIT,DET,2.0,0.0,1.0
25,2021_10_DET_PIT,4261,PIT,DET,11/14/2021,1.0,10,402,402,402,5,55.0,2.0,0.0,DET,PIT,2.0,0.0,0.0
26,2021_10_DET_PIT,4298,PIT,DET,11/14/2021,1.0,10,393,393,393,5,50.0,2.0,0.0,DET,PIT,2.0,0.0,0.0
27,2021_10_DET_PIT,4319,PIT,DET,11/14/2021,2.0,9,350,350,350,5,49.0,2.0,0.0,DET,PIT,2.0,0.0,0.0
28,2021_10_DET_PIT,4352,PIT,DET,11/14/2021,1.0,10,345,345,345,5,34.0,2.0,0.0,DET,PIT,2.0,0.0,0.0
29,2021_10_DET_PIT,4373,PIT,DET,11/14/2021,2.0,12,302,302,302,5,36.0,2.0,0.0,DET,PIT,2.0,0.0,0.0
30,2021_10_DET_PIT,4394,PIT,DET,11/14/2021,3.0,4,261,261,261,5,28.0,2.0,0.0,DET,PIT,2.0,0.0,0.0
31,2021_10_DET_PIT,4429,PIT,DET,11/14/2021,3.0,14,255,255,255,5,38.0,2.0,0.0,DET,PIT,2.0,0.0,0.0
33,2021_10_DET_PIT,4470,PIT,DET,11/14/2021,4.0,6,248,248,248,5,30.0,2.0,0.0,DET,PIT,2.0,0.0,0.0
34,2021_10_DET_PIT,4490,PIT,DET,11/14/2021,1.0,10,243,243,243,5,62.0,1.0,0.0,PIT,DET,1.0,0.0,0.0
35,2021_10_DET_PIT,4511,PIT,DET,11/14/2021,2.0,6,210,210,210,5,58.0,1.0,0.0,PIT,DET,1.0,0.0,0.0
36,2021_10_DET_PIT,4537,PIT,DET,11/14/2021,3.0,25,162,162,162,5,77.0,1.0,0.0,PIT,DET,1.0,0.0,0.0
37,2021_10_DET_PIT,4559,PIT,DET,11/14/2021,4.0,25,156,156,156,5,77.0,1.0,0.0,PIT,DET,1.0,0.0,0.0
38,2021_10_DET_PIT,4600,PIT,DET,11/14/2021,1.0,10,145,145,145,5,55.0,2.0,0.0,DET,PIT,2.0,0.0,0.0
39,2021_10_DET_PIT,4636,PIT,DET,11/14/2021,2.0,23,120,120,120,5,68.0,2.0,0.0,DET,PIT,2.0,0.0,0.0
